message_text_persian,message_text_english,time_est,date,has_media,media_filename,includes_video,audio_transcription_persian,audio_transcription_persian_v2,audio_transcription_english,ocr_text_persian,ocr_text_english,keywords,screenshots,theme,include_person,AI_generated
"صبحتون بخیر 👋😁 

🆔 @akhbarenfejari",Good morning 👋😁,2025-12-31 22:58:12 EST,2025-12-31,Y,2025-12-31_001.mp4,Y,I'm...,music only,music only,بخدا من ميخوام بیدار شم پتو نمیزاره,"Oh my God, I want to wake up. He won't put on the blanket.","greeting, morning",,Pop culture,,No
"چی میخواستیم، چی شد!!!😣

🔺️معاون سیاسی استاندار لرستان گفت شهید خدایی فر ۲۱ ساله امشب در دفاع از نظم عمومی شهر کوهدشت به دست عوامل اغتشاشگر به شهادت رسید.

🔺️۱۳ نفر از ماموران انتظامی و بسیجی در کوهدشت با پرتاب سنگ زخمی شدن.

🔺️مردم نباید بذارن اعتراضاتشون توسط افراد سودجو دچار تنش بشه.

🆔 @akhbarenfejari","What we wanted, what happened!!! 😣 The political deputy of the governor of Lorestan said that 21-year-old martyr Khodayifar tonight died defending public order in the city of Kuhdasht at the hands of rioters. 13 police and Basij forces in Kuhdasht were injured by stone throwing. People should not let their protests be disrupted by opportunistic individuals.",2025-12-31 23:46:46 EST,2025-12-31,Y,2025-12-31_002.jpg,N,,,,"امیرحسام خدایاریفرد
متولد ۱۳۸۲ - شهادت در کوهدشت
پیشاپیش بای جوانی تو بود...","Amir Hossam Khodayari Fard
Born 1382 - Martyred in Kohdasht
Your youth was ahead...","Kuhdasht, Lorestan, martyr, police, Basij, unrest, public order",,Protests,,No
"🛑 سرما امروز میره، فردا برمی‌گرده

🌨امروز تو برخی مناطق آذربایجان غربی، آذربایجان شرقی و اردبیل و همچنین تو ارتفاعات زاگرس مرکزی، برف میاد. 

🌡تو چند روز گذشته هوا خیلی سرد شده بود که امروز تو بیشتر مناطق کشور شدت سرما کم میشه.

☁️فردا یه سامانه‌ی جدید میاد که هم دوباره سرد میشه هم برف و بارون داریم.

🆔 @akhbarenfejari","🛑 Cold is leaving today, coming back tomorrow. Today snow is falling in some areas of West Azerbaijan, East Azerbaijan and Ardabil as well as the heights of the central Zagros. In the past few days the weather has been very cold, today in most parts of the country the intensity of cold is decreasing. Tomorrow a new system is coming that will be cold again and we'll have snow and rain.",2026-01-01 00:00:20 EST,2026-01-01,Y,2026-01-01_001.jpg,N,,,,"درای خزر
دریای عمان
خلیج فارس","Caspian Sea
Sea of Oman
Persian Gulf","snow, cold weather, West Azerbaijan, Zagros, forecast",,Weather and landscape,,No
"🛑 مطالبه آره، بازی تو زمین دشمن نه

🔺️دکتر رامین کامران، تحلیلگر سیاسی مقیم فرانسه هشدار میده که شرایط کنونی بسیار حساسه و دشمنان ایران منتظر فرصتن؛ از پیام‌های اسرائیلی‌ها تا فراخوان رضا پهلوی برای کشوندن مردم به خیابون میشه فهمید.

🔺️رسانه‌های خارجی تلاش می‌کنن اعتراضات رو تو مسیر سناریوهای خشونت‌آمیز گذشته قرار بدن و مردم رو به راهی که خیر ایران توش نیست، هل بدن.

🔺️مردم حق مطالبه دارن، اما نباید اختیارشون رو بدن دست بقیه یا اجازه بدن دشمن بازیشون بده؛ اعتراض باید همراه عقلانیت، تحلیل و شعور جمعی مردم ایران باشه، نه تحریک بیرونی.

🆔 @akhbarenfejari","🛑 Demands yes, playing on enemy territory no. Dr. Ramin Kamran, a political analyst based in France, warns that the current conditions are very sensitive and Iran's enemies are waiting for an opportunity; from Israeli messages to Reza Pahlavi's call to bring people to the streets you can understand it. Foreign media are trying to direct protests along the path of previous violent scenarios and push people towards a path that is not in Iran's interest. People have the right to demand, but should not give their choice to others or allow the enemy to play their game; protest should be accompanied by rationality, analysis and collective wisdom of the Iranian people, not external incitement.",2026-01-01 00:13:22 EST,2026-01-01,Y,2026-01-01_002.mp4,Y,این نوخد بسیار بسیار حصاسی چا توش مانان ایرندر کمینا میدونیتی گیتا و شروسونی اصرگیا پیام میدن پر لبیام که نوکر شنو خود شرند اختفت وست که بیاد مرده بزی داخل بون این کار با کنید اون کار با کنید هم اشنو بیش تستید جنسی شن میدون چیه میدن خوستی نیت شنو مطلیت که نسپت خود چیه و آداف شنم در این ایپان میدونیت اشه گراره و خیر ایرندرش نیست همه بات توجخ کراه مامرکت ماند  برازا سامر افتی کی می بره افا بشمعلوم میریه و نا بهیچ کسی نی فرستی داد یکتا ری که رسان آرخاری چیی سمی کنی ایت رازات و کارال بیدددر ایمتی دادی جوم بیشن سنزین دیگی آزادی خوب خودش رزادی از ایسی بیشار سو سپود بیشار پوپ بود و بهی جو هم نرسید و درهیگت دمی تو نسپره سی بول شار که سیو سینیست  فدر مرز هر نوت آبیت تفسیدی هست نمیشه جلور فندیجه گرفت. بیدیم خاشور به نزن تو را، فدره ایک تیس سیناریوی هم تو ریم برطونه بشده. کچی که بیاد ایتراز کنیت خوشونه اتبید بزنیت بیدیجلو. دفرق به دن باتون کولیتون دادن تو را. این دفر مخان خول بیدن. مطالی بیداری خاص داری. مامریقات خولتونه اختیار شمیخای. که که سنازیت اولیتون بیده. اختیارتون دست که سکن ندیت.  بازیو شارو چارت بردومی اشخال تلی بیجانی لراناد روز و نام علوم پا نگزاری ساییت فاخد جو زنید کبازی تون بدا داشن مردومی ران داشن ملتی ایدان داشن شوری ملت نیس که که سیگوازیش بیت خودش برخودش تسمیم بگری در کنه تحلیل کنه از تدلال کنه تسمیم بگری و ازوی آقل ملکنه دیدانه نانی دیدخام  you,این نقطه بسیار-بسیار حساسه چون دشمنان ایران در کمیننن. میدونید دیگه. تا شروع شده استرالیا پیام میدن. پحلوی هم که نوکر اشونو خود شود داخت وسط. که بیاد مردو بزید در خیابون این کارو بکنید اون کارو بکنید. همهشون میشتاسید. جنسشون میدونید چیه. میدونید خوستنیتشون مطلعید که نسبت خودتون چیه. ازا هیچ وقت اجازه ندیدید که بازی تون بدن. در شن مردم ایران، در شن ملت ایران. در شن شعور این ملت نیست کسی دیگه بازیش بده. خودش برا خودش تصفیم بگیره. درک کنه، تحلیل کنه، استدلال کنه، تصفیم بگیره. و از روی عقل عمل کنه.,"This point is very, very sensitive because Iran's enemies are lurking. You know what I mean. As soon as it started, they were sending messages from Australia. Pahlavi, who is their servant, also threw himself into the middle of it — telling people to come out into the streets, do this, do that. You all recognize them. You know what kind of people they are. You know what they want, and you're aware of what your relationship to them is. You have never allowed them to play games with you. In the name of the Iranian people, in the name of the Iranian nation — it is not in the nature of this nation for someone else to play them. They make their own decisions. They understand, they analyze, they reason, they decide. And they act rationally",,,"foreign interference, Israel, Reza Pahlavi, protests, Iran, foreign media",,Foreign intervention,"Ramin Kamran, Reza Pahlavi",No
"🛑 حمله آمریکا به ۳ قایق دیگه

💣 آمریکا دوباره به بهونه‌ی مبارزه با مواد مخدر تو آب‌های بین‌المللی به ۳ تا قایق حمله کرد و ۳ نفر رو کشت.

🆔 @akhbarenfejari",🛑 America attacks 3 more boats. America again under the pretext of fighting drugs in international waters attacked 3 boats and killed 3 people.,2026-01-01 00:20:49 EST,2026-01-01,Y,2026-01-01_003.mp4,Y,you  you,no sound,no sound,,,"US military, boats, international waters, attack, casualties",,War coverage,,No
"🛑 فیلم‌های سینمایی امروز تلویزیون 

🔹«کد ۸» ساعت ۱۰:۰۰ از شبکه سه
🔹«خانواده ملیله چی» ساعت ۱۱:۰۰ از شبکه نمایش
🔹«تنها در خانه ۵» ساعت ۱۳:۰۰ از شبکه نمایش
🔹«فورد در برابر فراری» ساعت ۱۳:۳۰ از شبکه فراتر
🔹«بامزی و تاندربل» ساعت ۱۳:۳۰ از شبکه تهران
🔹«غذا‌های کونگ فوکار» ساعت ۱۴:۰۰ از شبکه پویا
🔹«خانه رویایی» ساعت ۱۵:۰۰ از شبکه نمایش
🔹«وقتی تو خواب بودی» ساعت ۱۷:۰۰ از شبکه نمایش
🔹«رویای جیمی» ساعت ۱۸:۰۰ از شبکه امید
🔹«پاکباخته» ساعت ۱۹:۰۰ از شبکه نمایش
🔹«بادی که در مرغزار وزید» ساعت ۲۰:۳۰ از شبکه چهار
🔹«مشت افسانه‌ای» ساعت ۲۱:۰۰ از شبکه نمایش
🔹«شکار شیاطین» ساعت ۲۳:۰۰ از شبکه نمایش
🔹«هور در آتش» ساعت ۲۳:۱۵ از شبکه افق
🔹«گمشده و عشق» ساعت ۲۳:۳۰ از شبکه یک
🔹«پدربزرگ ها» ساعت ۲۳:۵۰ از شبکه دو
🔹«طوفان بی پایان» ساعت ۲۴:۰۰ از شبکه سه

🆔 @akhbarenfejari",🛑 Today's cinema films on television. [Film listing with times and channels - various movies scheduled throughout the day],2026-01-01 00:23:37 EST,2026-01-01,Y,2026-01-01_004.jpg,N,,,,,,"cinema, television, films, entertainment, schedule",,Pop culture,,No
"🛑 آقایون، به اعتراض تو چهارچوب بها بدید!!

🔺️صحبت های امین سلیمی، مجری برنامه زمانه در مورد اعتراضات مردم به مسائل اقتصادی 

🔺️نذاریم اعتراضمون رو مصادره کنن

🆔 @akhbarenfejari","🛑 Gentlemen, give value to protests within a framework!! Amin Salimi, presenter of the Zamana program, speaking about people's protests regarding economic issues. Let's not let our protests be confiscated.",2026-01-01 00:39:57 EST,2026-01-01,Y,2026-01-01_005.mp4,Y,اگه ایتراز در چا هرچو بها بیتیت هر جا ان انت اندست مم بودت حلاش کردن که سدای بیسدا هوا برسف دو تا چیز تو همی ان فرنی کم ایگر که رکردن دوش من سدای ایتراز اشه مست افوالش مست اولی که گوشنی میده مست اولی که این کارن کنه مست اولی که هواس اشنیست هوا اختی که سدای ایتراز بیون هکتن اعایت اشن نرسی تسیم نمیگی رکت هواد جو خو کنه دف ممش اون که سیگ  که ابالینگا می اتراز شمارو مسادرم کنه برعی اختف اصيار سيخونش. هرف از دیل گوم می کنه. نمیزار سدعی و آغیی و رسه. همی اتراز حارو دوستر که لبو کنه برعیگ سری ماموبيات اصيار سیستی. هر دو شمدن لها یت سدعی اتراز مردوم گوم می کنه. اجازن میدن هرف منتاvel به شه. آغیون. به اتراز در چاہار چوب پها به دیت. به اتراز در چار چوب پها ندیت. افرادی میان  ایت راز رومون حرف مقنن سدعی شموشن دن نمیشه. اولگو کنی دون حیدر چارش بیت راز مقنن دمع رومنی شومدی دست ارس دای ایت راز هست.,آگایون بی ایتراز در چاارچو بها بیتیت. هر جا ان آنطن دستمام بودت حلاش کردم که سدای بیسداها برسف. دو تا چیز تو همی ان فرنی کم پیگر که رم دوش من سدای ایتراز اشه ماز. افوالش مسؤولی که گوشنی میده. مسؤولی که این کار می کانه. مسؤولی که هواستشنیس. هواخی که سدای ایتراز بیون هکتنه هایتش نرسی تسیمیم نمیگی رکت ها بچوخ با کنه. دو بمش اون کسی که اولین گام اعتراض شمارو مصادره میکنه برای اهداف سیاسی خودش حرف اصلی رو گم میکنه نمی ذاره صدای واقعی برسه نمیزار سدای و آغیی برسه. همی ایتراز هر و دوسر کلی و کنه برهی کسری مامویت سیاسی. هر دو شوم در لهایت سدای ایتراز مردامه گوم میkanه. اجاز نمیدن هرف منتاvel به شه آگایون. به ایتراز در چاہار چوب باها به دید. به ایتراز در چار چوب باها ندید. افرادی میانون ایتراز رومون هرف مقنن سدای شاومون شنید نمیشه.  که کنی دنهای در چار چوبه تراز مکنن. به مردوم نشون میدی دستر استداده یه تراز هست.,"Gentlemen, protest within a framework has value. Wherever I was, I tried to make the voice of those without a voice reach [those in power]. There are two things in this — I'll follow up on what weighs on my shoulders — the voice of protest must be heard. First: the official who listens. The official who does this work. The official who pays attention. Someone who wants the voice of protest to be heard, who doesn't let their decisions make the parties grow [in opposition]. Second: the person who hijacks the first step of your protest for their own political goals — they lose the main message, they don't let the real voice reach [anyone], they don't let the voice and the cry arrive.
This protest, on both sides, becomes wholly a mission of political deficit. Both are bad — ultimately they silence the voice of the people's protest. They don't allow the words to be transmitted properly, gentlemen.
See protest within a framework as valuable. [But also] don't see protest only within a framework. People come and speak about our protest, but our voice is not heard. Those who operate within the framework of balance — you show the people that there is a tool, a resource, a balance that exists.",,,"protests, economic issues, civil unrest, Iranian media",,Protests,Amin Salimi,No
"🛑 وقتی میگن نسل‌کشی یعنی این

🔺آمارها نشون میدن رژیم صهیونیستی حدود ۱۱ درصد از جمعیت نوار غزه رو قتل عام کرده.

🆔 @akhbarenfejari",🛑 When they say genocide this is what it means. Statistics show that the Zionist regime has massacred about 11 percent of the population of Gaza Strip.,2026-01-01 00:48:33 EST,2026-01-01,Y,2026-01-01_006.jpg,N,,,,,,"Gaza, genocide, Palestinian casualties, statistics, Israel",,Gaza Genocide,,No
,,2026-01-01 01:05:39 EST,2026-01-01,Y,2026-01-01_007.jpg,N,,,,,,"Ai-generated photo, Bypassing sanctions for technology ",,Pop culture,,No
"سال نوی میلادی رو به همه هموطنای مسیحیمون تبریک میگیم🎄🎊🎁

📸 اگه میخوای عکس خودتو با این استایل کریسمسی خفن بسازی، فقط کافیه هوش مصنوعی جمینای گوگل رو باز کنی، یه عکس ساده و از روبروی خودتو آپلود کنی و پرامپت زیر رو کپی کنی و زیرش بنویسی👇👇


Single image, vertical 2:3; high-end cinematic photography, professional depth of field, natural/cinematic color grading; hyperrealistic festive studio portrait of a young adult male with the same holiday setup: softly blurred Christmas tree background with warm golden lights/red ornaments and bokeh; wearing a masculine evergreen wreath headpiece (evergreen, holly, red berries, pinecones, small matte red/gold ornaments—rugged, structured, not delicate), calm confident gaze; wardrobe (masculine equivalent): ivory textured men’s knit or structured coat with clean neckline (men’s fit), no lace; built 100% from the unaltered facial features of the reference image; use the uploaded reference image as the ONLY identity source—preserve the original face 100% exactly and hair unchanged (same color/length/parting/fall—NO changes), grooming consistent with the reference image (keep facial hair if present; if not, clean-shaven). Do NOT mirror the female wardrobe or accessories; convert everything into masculine equivalents. strictly masculine styling only, menswear tailoring; structured shoulders, straighter silhouette, boxier fit; men’s fit, masculine proportions, sharp lines; minimal masculine accessory: metal watch (choose one); no feminine elements, no makeup. STRICT MASCULINE LOCK:strictly masculine styling only, menswear tailoring, structured shoulders and straighter silhouette, one minimal masculine accessory only (metal watch OR signet ring OR thick chain), no feminine elements, no makeup, no handbag/purse, no delicate jewelry, no feminine pose. Ban List: no feminine elements, no makeup, no lipstick, no eyeliner, no nail polish, no long manicured nails no dress, no skirt, no corset, no lace lingerie vibe, no delicate jewelry, no handbag/purse no feminine pose or feminine body language. Negative: beauty filter, plastic skin, harsh lighting, busy/sharp background, digital noise; no text, no logo, no watermark.

⚠️ یادت باشه برای استفاده از هوش مصنوعی جمینای باید اول نرم افزار شکن رو نصب کنی تا بتونی تحریمای آمریکا رو دور بزنی

🆔 @akhbarenfejari","We congratulate all our Christian compatriots on the New Year 🎄🎊🎁 [Instructions for creating a Christmas-style portrait using AI with detailed styling parameters for masculine presentation]⚠️ Remember, to use Google's Gemini AI you need to install a VPN first to bypass American sanctions.",2026-01-01 01:05:44 EST,2026-01-01,N,,,,,,,,"AI, Christmas, VPN, Google Gemini, sanctions",,Using AI,,Yes
